2013/06/30 18:03:35:562  INFO:   Loaded Symbol File C:\ISV System\Config\FirmwareSymbols\build33136.sym for firmware Build #33136
2013/06/30 18:03:35:625  INFO:   CommunicationSystemLog properties: .\CommunicationSystem.logger.properties
2013/06/30 18:03:35:625  INFO:   CommunicationSystemLog log       : .\logs\prbCalRssiTxScriptLog 2013.06.30 18.03.35_CommunicationSystem.Log
2013/06/30 18:03:43:406  INFO:   Setting the event sink for ScriptEngineProcedure
2013/06/30 18:03:43:406  INFO:   Program parameters checks are enabled
2013/06/30 18:03:43:421  INFO:   ********************************************************************************
2013/06/30 18:03:43:421  INFO:   Starting ScriptEngineProcedure, Assembly  version 
2013/06/30 18:03:43:437  INFO:   Config: ICD (NCommunicationSystem ver: nCommunicationSystem, Version=1.8.2.1, Culture=neutral, PublicKeyToken=56b5378c99c0bcfd; FTDI Driver ver: 2.08.28.0; PRB FPGA ver: 18)
2013/06/30 18:03:43:437  INFO:   Setting the radio board transmit power to level 0x7.
2013/06/30 18:03:43:437  INFO:   Radio board power level set to 7.
2013/06/30 18:03:43:437  INFO:   ECG Timeout Interval set to 10 seconds.
2013/06/30 18:03:43:437  STATE:  Changing state to ScriptExecStateMachine.WaitForNextCmdState, ID[1]
2013/06/30 18:03:43:437  INFO:   FwDvtSystem Started the event processing thread
2013/06/30 18:03:43:531  ACTION: Read PRB FPGA: Address=0x3000 Data=0x12
2013/06/30 18:03:43:562  RESULT: FPGA 0x3000 Expected: 18 Actual: 18
2013/06/30 18:03:43:578  ACTION: Calibrate CC1020
2013/06/30 18:03:43:656  INFO:   CC1020 calibration passed
2013/06/30 18:03:43:687  ACTION: Read C1020: Address 0x04 Data=0x35
2013/06/30 18:03:43:703  ACTION: Read C1020: Address 0x05 Data=0xF0
2013/06/30 18:03:43:703  ACTION: Read C1020: Address 0x06 Data=0x21
2013/06/30 18:03:43:703  ACTION: Read C1020: Address 0x07 Data=0x38
2013/06/30 18:03:43:718  ACTION: Read C1020: Address 0x08 Data=0x35
2013/06/30 18:03:43:718  ACTION: Read C1020: Address 0x09 Data=0xFA
2013/06/30 18:03:43:718  ACTION: Read C1020: Address 0x0A Data=0xCB
2013/06/30 18:03:43:734  ACTION: Read C1020: Address 0x0B Data=0x38
2013/06/30 18:03:43:734  ACTION: Read C1020: Address 0x1D Data=0x00
2013/06/30 18:03:43:734  ACTION: Read C1020: Address 0x45 Data=0x6C
2013/06/30 18:03:43:734  ACTION: Read C1020: Address 0x46 Data=0x66
2013/06/30 18:03:43:750  ACTION: Read C1020: Address 0x47 Data=0x44
2013/06/30 18:03:43:765  ACTION: Write PRB FPGA: Address=0x3024 Data=0x35
2013/06/30 18:03:43:765  ACTION: Write PRB FPGA: Address=0x3026 Data=0xD8
2013/06/30 18:03:43:765  ACTION: Write PRB FPGA: Address=0x3028 Data=0x15
2013/06/30 18:03:43:765  ACTION: Write PRB FPGA: Address=0x302C Data=0x35
