Reference, Value, Footprint, Datasheet, description, supplier, supplier pn, manufacturer, manufacturer pn
U12,MSP430G2955,footprints_on_Cdrive:VQFN40,,IC MCU 16BIT 56KB FLASH 40VQFN,digikey,296-35703-1-ND,Texas Instruments,MSP430G2955IRHA40R
R4,?,footprints_on_Cdrive:0603,, ,digikey,22,Yageo, 
U2,TPS73133,footprints_on_Cdrive:SOT23-5,,IC REG LDO 3.3V 0.15A SOT23-5,digikey,296-32553-1-ND ,Texas Instruments,TPS73133DBVR 
C4,0.47uF,footprints_on_Cdrive:0603,,CAP CER 0.47UF 10V X5R 0603 ,digikey,1276-1898-1-ND ,Samsung,CL10A474KP8NNNC  
C2,DNI,footprints_on_Cdrive:0603,,do not install,NA,NA,NA,NA
C10,DNI,footprints_on_Cdrive:0603,,do not install,NA,NA,NA,NA
U3,74CBTLV3253,footprints_on_Cdrive:DHVQFN16,, IC MUX/DEMUX DUAL 1OF4 DHVQFN16 ,digikey,568-5422-1-ND,NXP Semiconductors,74CBTLV3253BQ-115
Q1,Si1101X,footprints_on_Cdrive:SOT23,,MOSFET P-CH 12V SC-89 ,digikey,SI1011X-T1-GE3CT-ND ,Vishay,SI1011X-T1-GE3 
U7,MCP4921,footprints_on_Cdrive:MSOP-8,, ICDAC 12BIT SNGL W/SPI 8MSOP ,digikey, MCP4921T-E/MSCT-ND ,Microchip Technology,MCP4921T-E/MS 
U6,AD8603,footprints_on_Cdrive:SOT23-5,, IC OPAMP GP 400KHZ RRO TSOT23-5 ,digikey,AD8603AUJZREEL7CT-ND ,Analog Devices,AD8603AUJZ-REEL7 
C9,51pF,footprints_on_Cdrive:0603,, CAP CER 51PF 50V C0G/NP0 0603 ,digikey, 490-1420-1-ND ,Murata,GRM1885C1H510JA01D
U5,TPS73125,footprints_on_Cdrive:SOT23-5,, IC REG LDO 2.5V 0.15A SOT23-5 ,digikey, 296-15803-1-ND ,Texas Instruments, TPS73125DBVT 
U9,TLV1G125,footprints_on_Cdrive:SOT23-5,, IC LV SINGLE FET BUS SW SOT-23-5 ,digikey, 296-9109-1-ND ,Texas Instruments,SN74CBTLV1G125DBVR
TP2,TP_SMT,footprints_on_Cdrive:TP_SMT.02,
P2,CONN_02X15,footprints_on_Cdrive:Pin_Header_Straight_2x15_Pitch2.54mm,,CONN HEADER B/A 30POS VERT DUAL SMT,digikey,A107235-ND ,TE,2-146134-1 
